1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
0,1.1722914,0.842784,1.0999999,0.2592702,1.0349769,0.659123,0.2653865,1.6154093,0.9596625,0.5873773,0.4435393,1.2101229,1.5150531,1.4294659,2.2046974,1.0224996,0.1311927,1.0221759,0.7029623,0.461272,0.5316053,0.6845254,0.6279597,0.5139214,1.1590305,0.3858795,0.1333894,0.2592702,0.8484761,0.9931195,0.5059113,1.3892251,1.677071,0.9506527,0.7079231,0.4863634,0.3580278,1.4260947,0.2363181,0.1870942,2.8504745,1.0915812,0.5502762,0.7891803,1.2101229,0.6975467,0.9156036,0.5216255,0.4744817,3.4222055,2.9884691,3.5223654,3.4734647,3.4106253,2.8758727,3.0296244,2.9474424,3.2472845,2.8048933,3.7913927,2.7701737,3.6534611,3.0539044,2.4280167,3.1531195,2.7700325,2.743038,4.0807954,3.0046719,3.0859034,2.8791409,3.7687544,3.0419253,3.0233965,3.1565489,3.6030473,3.6167358,3.0114418,2.702836,3.1376653,3.0661909,2.7946629,3.5095001,2.7275886,2.7732991,3.3134488,3.8275954,2.4703136,3.1223255,3.0176436,2.9221122,2.9780247,3.1391596,2.8864851,2.4653441,2.6492213,2.9053236,2.7348408,2.7433858,4.2668089,3.6675034,4.4565611,3.7499005,4.1558993,5.0320143,3.5040636,4.5895907,4.4289799,4.7620962,3.6471563,3.9608579,4.1398378,3.9400614,4.0021579,3.9254931,3.7382826,5.1216144,5.6053211,4.1405966,4.3269526,3.5286435,5.1988796,3.7156386,4.0113233,4.2545835,3.529811,3.3333812,4.1131305,4.1633369,4.7282933,5.05038,4.1939351,3.4613723,3.7230438,5.0846267,4.0179192,3.6203949,3.2577477,4.1127884,4.3088998,4.1893533,3.6675034,4.3332278,4.3568623,4.1561269,4.0616164,3.7927058,3.8133822,3.323929
1.1722914,0,0.5216255,0.4325508,1.381856,2.1739229,0.99532,0.927356,0.6459347,0.270292,1.7166916,0.9325321,0.1783123,0.7557169,2.54123,3.3648661,2.1680104,1.1796095,2.0852433,1.8567557,1.1116076,1.6460914,1.4413672,0.8460821,0.9679898,0.1655887,0.9687426,1.2043234,0.9866359,0.5307731,0.2829432,1.1308607,2.5535829,2.8468903,0.2363181,0.4878204,1.3579974,1.3828064,0.6064679,0.9506527,1.1622978,1.6831481,0.7604949,1.2722955,1.891082,0.1783123,1.8547121,0.5846393,1.6780274,0.6987985,3.551761,3.0796838,3.5673331,2.7122115,3.1841347,2.5120334,3.19377,2.0383603,3.1041768,2.2558914,2.7919525,2.6235369,2.8990023,2.8505637,2.0983257,3.1850118,2.5898183,2.2574073,3.4388948,2.3302935,3.1280392,2.5617301,3.3187453,2.7434136,2.8487388,3.0953563,3.415158,3.5716302,2.7946069,2.0717734,2.3795903,2.2845203,2.3198644,3.163051,2.5213386,3.0106641,3.3438123,3.2261899,2.266391,2.468359,2.4446728,2.8043705,2.4318488,2.2031298,2.4055677,2.2738371,2.3631366,2.7015961,1.8947013,2.3592019,4.3848832,3.3199716,4.4463516,3.6024721,4.1025106,5.0519252,2.876166,4.5347266,4.0816374,5.0796887,3.7300923,3.6891783,4.1075974,3.4618829,3.7570296,3.9953724,3.6788383,5.5408512,5.4381292,3.4929897,4.4235392,3.2299625,5.1219839,3.4160322,4.1648046,4.3728328,3.284952,3.2306631,3.9199306,4.1594248,4.6247294,5.4857184,4.0046355,3.2203691,3.3288614,5.1100435,4.2061372,3.6241401,3.1433007,4.1513655,4.3322921,4.2272318,3.3199716,4.4230881,4.49857,4.1169353,3.6479156,3.734128,4.0039311,3.2027469
0.842784,0.5216255,0,0.2829432,0.9882608,1.847707,0.4955334,0.5955157,0.7798708,0.3755259,1.4294659,0.5039975,0.4955334,0.6884307,2.2664138,3.0199053,1.8337606,0.852934,1.8498309,1.4691255,0.9881788,1.2770882,0.9410956,0.7015872,0.5836569,0.608838,0.6629704,0.9225864,0.7604949,0.169943,0.3100027,1.0034122,2.1583006,2.4900399,0.3518639,0.3666919,1.1862113,0.9596625,0.5846393,0.6758146,0.7887972,2.0830666,0.3622899,0.9535483,1.5207403,0.4955334,1.4687284,0.1333894,1.3615373,0.4325508,3.7286498,3.2263647,3.7654666,3.1014359,3.4598612,2.7693211,3.2968311,2.4108589,3.3638706,2.5155993,3.2195799,2.8139104,3.3420432,3.0854769,2.3313415,3.3835504,2.7543698,2.5880355,3.8392441,2.7062705,3.2306631,2.8500069,3.6578993,3.0218077,3.1079094,3.322282,3.6990636,3.782818,3.0221038,2.4511205,2.7752258,2.6929619,2.6402604,3.4333338,2.6683089,3.0552637,3.5361628,3.6281493,2.4474988,2.8168265,2.762836,3.0069887,2.7784996,2.6038421,2.6978777,2.4675516,2.5910305,2.9539363,2.2658527,2.6265928,4.4698503,3.5620824,4.6491197,3.8140125,4.2800043,5.2633469,3.1298762,4.7708393,4.3951135,5.1434798,3.8646356,3.9546305,4.3030165,3.7426191,3.9460032,4.1157406,3.8732984,5.5912668,5.7161094,3.8768794,4.5674245,3.4291139,5.3760062,3.6897608,4.2792576,4.539779,3.5299669,3.4108541,4.1477254,4.3814385,4.8827588,5.5454265,4.2278689,3.4811094,3.6283855,5.3216221,4.2670518,3.7860397,3.3184827,4.3265227,4.4888621,4.3971806,3.5620824,4.5620035,4.6047346,4.3029248,3.9597807,3.9233974,4.0591174,3.3690495
1.0999999,0.4325508,0.2829432,0,1.2459861,2.0937597,0.7029623,0.8408781,0.5216255,0.3853122,1.6817561,0.731628,0.3624815,0.5024401,2.528352,3.2755432,2.0937597,1.1077957,2.0913897,1.7207651,1.1916094,1.5259039,1.1815904,0.8619066,0.7638154,0.5377608,0.882684,1.1692786,1.0009797,0.2653865,0.2480807,1.214884,2.409555,2.7483824,0.3622899,0.5611223,1.4269962,1.2114481,0.3518639,0.9156036,1.0514677,1.8475435,0.3518639,1.163671,1.7504315,0.3624815,1.7166916,0.2363181,1.6154093,0.6686542,3.7705864,3.2518591,3.7859104,2.9390923,3.4250594,2.6849631,3.3293677,2.202662,3.3482025,2.3862167,2.9979278,2.7866416,3.1983081,3.0424215,2.2730311,3.4071448,2.7032984,2.4925994,3.7140105,2.5682312,3.2276923,2.800585,3.5676257,2.9601027,3.0877351,3.3261597,3.6749551,3.7799002,2.9775454,2.3378812,2.6176676,2.5328215,2.5518172,3.3515491,2.6043821,3.0973656,3.5533312,3.516365,2.4005964,2.6766433,2.6300384,2.9826586,2.6725915,2.396532,2.5927779,2.4244082,2.5292507,2.9227404,2.0918137,2.5475911,4.4752978,3.4749383,4.6468693,3.7716925,4.2585617,5.2666772,2.9642619,4.7583301,4.3204046,5.2028463,3.8797835,3.8955361,4.2963791,3.6286475,3.8811057,4.1233231,3.8545894,5.6706138,5.6814203,3.7365436,4.5845756,3.349358,5.361184,3.629409,4.3030165,4.5624067,3.4796385,3.3837389,4.0995723,4.3838439,4.8653567,5.6340212,4.1806389,3.4287025,3.5312881,5.3336738,4.2910462,3.7769859,3.288124,4.3369342,4.4895518,4.4117915,3.4749383,4.5731831,4.6268225,4.297374,3.8748876,3.9098559,4.0839055,3.3290016
0.2592702,1.381856,0.9882608,1.2459861,0,0.8971079,0.6790442,0.4623398,1.7618861,1.1622978,0.5377608,0.5307731,1.403741,1.6296132,1.3373085,2.0384911,0.882684,0.2905728,0.9855183,0.4955334,0.6875828,0.3731971,0.5335576,0.8198192,0.5908537,1.3812233,0.540584,0.3379073,0.5185405,0.9931195,1.1777533,0.7182928,1.1809689,1.5031755,1.15487,0.9246796,0.6484139,0.1783123,1.5566525,0.4778513,0.270292,3.0464266,1.17065,0.5838299,0.6117212,1.403741,0.4878204,1.0370809,0.4325508,0.6882845,3.5565037,3.1133856,3.6633855,3.6758867,3.5839717,3.041347,3.131518,3.1391596,3.4177827,2.9674924,3.9989787,2.9156125,3.8789272,3.2119894,2.5961455,3.3010851,2.900433,2.9390216,4.2906322,3.2084042,3.1842086,3.063539,3.9589755,3.2170061,3.1967128,3.3158571,3.7791456,3.7604591,3.1670425,2.9146218,3.3446756,3.2777184,2.9872615,3.6726715,2.8497081,2.8506475,3.454554,4.0411648,2.615699,3.3144462,3.1996148,3.0698549,3.1760819,3.3400106,3.0638295,2.6165857,2.8093144,3.0758115,2.9324598,2.9163871,4.339751,3.8163034,4.5867071,3.8872397,4.2747443,5.1617778,3.6524093,4.7333811,4.6046184,4.8220354,3.754083,4.1203145,4.269391,4.1011042,4.126207,4.0214076,3.8699737,5.1711398,5.7613083,4.3408339,4.430641,3.6607794,5.3470411,3.881417,4.1030678,4.3700165,3.6857227,3.4636252,4.2545462,4.3057504,4.8817778,5.1063125,4.3327142,3.6242588,3.8945376,5.2158776,4.0824235,3.7382826,3.3865945,4.2341898,4.4183274,4.3085979,3.8163034,4.4334813,4.441475,4.281783,4.2387151,3.9225702,3.8775279,3.4460757
1.0349769,2.1739229,1.847707,2.0937597,0.8971079,0,1.5150531,1.2770882,2.6114809,1.9751253,0.540584,1.3831135,2.2298924,2.5097176,0.6595814,1.2083136,0.2265906,1.009724,0.4484448,0.462535,1.1767659,0.5955157,1.2779601,1.4294781,1.3865893,2.1375255,1.2459861,0.9910668,1.2132575,1.8346353,1.9914459,1.1527219,0.6607751,0.7655364,1.9532184,1.7209408,0.9884177,1.0109966,2.4170616,1.236474,1.0696222,3.8373148,2.0390669,1.0712572,0.4435393,2.1988014,0.5059113,1.9000829,0.5539087,1.4919816,3.3048277,2.9387106,3.4667998,4.0720264,3.5937548,3.2265027,2.9056406,3.6944675,3.3847684,3.3033907,4.5710738,2.9523559,4.2490402,3.2538509,2.806177,3.145461,2.9866989,3.2064127,4.5545528,3.5737573,3.066119,3.1898882,4.1069159,3.3276589,3.2071004,3.2286475,3.7459965,3.6237519,3.2229117,3.2689862,3.7571913,3.709605,3.235395,3.7805815,2.9769171,2.614427,3.2869589,4.2883437,2.7503539,3.6637633,3.5144204,3.0656335,3.4537105,3.8922477,3.3223236,2.7389795,2.9655881,3.1241763,3.4400347,3.121355,4.0742936,3.9236787,4.3718484,3.8339659,4.1229897,4.8990816,4.0132368,4.5488548,4.64212,4.3590937,3.529811,4.1315306,4.0902202,4.2835573,4.1468798,3.7960203,3.7463912,4.6223779,5.6125657,4.6167453,4.1482845,3.7576011,5.1490259,3.9268923,3.8036902,4.0756825,3.709412,3.4114006,4.2050494,4.1062729,4.7209906,4.5455726,4.276078,3.6527447,4.0264476,4.9400744,3.7765921,3.5825067,3.3534908,4.0021651,4.1951012,4.0710008,3.9236787,4.1607216,4.133305,4.107628,4.3434247,3.7901685,3.5854865,3.4221668
0.659123,0.99532,0.4955334,0.7029623,0.6790442,1.5150531,0,0.5037468,1.1796095,0.8228272,1.1947877,0.2972919,0.9845698,1.0349769,2.0062535,2.6549549,1.506557,0.6459347,1.6234882,1.0999999,0.9896736,0.9266879,0.5283029,0.717606,0.3946778,1.0514677,0.5132132,0.7733522,0.7363609,0.5051537,0.7497453,0.9766177,1.7822171,2.1371203,0.7908287,0.6884307,1.1199748,0.6408191,0.9596625,0.6204957,0.5377608,2.5272324,0.5378705,0.6735853,1.1420273,0.9489634,1.1121323,0.4772427,1.0994367,0.5506262,3.7666897,3.2400553,3.8207307,3.3824256,3.5950125,2.9093879,3.2665959,2.7197021,3.4866266,2.6818714,3.578933,2.881169,3.6675342,3.189738,2.4593894,3.4461333,2.8040756,2.803923,4.1079777,2.9713856,3.2027102,3.0110958,3.8584662,3.172535,3.2343406,3.4126765,3.8400048,3.8478444,3.1203554,2.7188117,3.0651117,2.9976518,2.8423619,3.5692373,2.7088418,2.9750586,3.5886199,3.8978244,2.5221132,3.0553743,2.9719128,3.080927,3.0053681,2.9333,2.8765566,2.5528001,2.7050957,3.0772167,2.5595398,2.7784996,4.4031665,3.6713077,4.6937964,3.8812155,4.3049782,5.3123577,3.2942584,4.8502371,4.55853,5.0485781,3.8525942,4.073247,4.3441376,3.8937377,3.9972924,4.0867007,3.9209421,5.4849359,5.8288502,4.1322457,4.554485,3.5012027,5.4679098,3.8206676,4.2419305,4.5532323,3.6346298,3.4535647,4.22578,4.4522034,4.9823042,5.4516463,4.30047,3.6029395,3.793854,5.3693944,4.1791853,3.8033835,3.3589822,4.3473457,4.48955,4.4120541,3.6713077,4.5444296,4.5549772,4.334972,4.1283516,3.9641899,3.9689273,3.4018388
0.2653865,0.927356,0.5955157,0.8408781,0.4623398,1.2770882,0.5037468,0,1.3579974,0.7110069,0.8408781,0.2480807,0.9596625,1.2748946,1.6903208,2.4591013,1.2770882,0.2960431,1.2597019,0.9348753,0.4961615,0.7464351,0.7239568,0.4847273,0.3311773,0.9194593,0.2684307,0.3331252,0.2480807,0.5873773,0.731628,0.5497149,1.6293475,1.9330259,0.6987985,0.4893156,0.6557953,0.4955334,1.1747545,0.1207633,0.2875493,2.6007216,0.8651016,0.5755263,0.9884177,0.9596625,0.927356,0.6686542,0.7778107,0.2363181,3.4363482,2.9775454,3.515221,3.2896652,3.3419822,2.7532166,3.0293109,2.7238853,3.1962133,2.6390111,3.5639903,2.6965827,3.485008,2.9740543,2.3105609,3.1409613,2.6765687,2.6044923,3.934036,2.8339244,3.0483663,2.7834817,3.6532969,2.9439263,2.9618858,3.1229528,3.5486755,3.5861499,2.927647,2.5433267,2.9529635,2.8780192,2.6612214,3.4014511,2.6215157,2.7784701,3.2989642,3.6898638,2.3704558,2.9523559,2.8553922,2.8581636,2.8335309,2.9172504,2.7433858,2.3700807,2.5401693,2.8309736,2.5287055,2.6194265,4.2567975,3.5560547,4.4384163,3.6852401,4.116007,5.0260006,3.3224774,4.564026,4.3379534,4.812914,3.636927,3.878854,4.1127884,3.8060121,3.913756,3.9106242,3.6964882,5.1995571,5.5630886,3.9847038,4.3273746,3.4214096,5.1749458,3.6276145,4.0176244,4.263025,3.4490155,3.2745283,4.0448703,4.1481998,4.6967518,5.1369629,4.1270117,3.3804074,3.6064023,5.0847026,4.0235915,3.5878454,3.1939437,4.1027624,4.2910462,4.1818137,3.5560547,4.3288003,4.3626644,4.1279836,3.9539067,3.754083,3.8172197,3.2539881
1.6154093,0.6459347,0.7798708,0.5216255,1.7618861,2.6114809,1.1796095,1.3579974,0,0.7717279,2.1978108,1.2498433,0.5506262,0.3366202,3.0397972,3.7921104,2.6065611,1.6207278,2.602762,2.235765,1.674273,2.0384911,1.6397881,1.3193126,1.2765173,0.7684328,1.3865893,1.6827099,1.4997645,0.7860187,0.6758146,1.6871172,2.9212241,3.2650172,0.7604949,1.0057769,1.9138411,1.7207651,0.2363181,1.4260947,1.5621711,1.3892251,0.6906117,1.6456543,2.264353,0.5506262,2.2340682,0.7294317,2.1338418,1.1692786,4.037992,3.507107,4.0205879,2.8127259,3.5607303,2.7719481,3.6020759,1.9850685,3.525211,2.3723337,2.702836,2.9594856,3.0957172,3.1918213,2.3949514,3.6458038,2.8539893,2.5514379,3.6464947,2.518331,3.4454009,2.9187663,3.5981464,3.0794567,3.2580418,3.5323794,3.8263434,3.9747772,3.1186536,2.3356114,2.5145697,2.4247977,2.6068599,3.4220629,2.7392642,3.3921443,3.7853225,3.4828637,2.5641029,2.6189085,2.6167891,3.1672983,2.6874824,2.1633142,2.6285031,2.5988977,2.6576444,3.0832563,1.9422738,2.6342396,4.6906273,3.5264939,4.8369106,3.9155448,4.4250683,5.4659674,2.8571296,4.9371863,4.379007,5.4960335,4.1078916,3.9873564,4.4788956,3.6113978,3.9540477,4.3333991,4.0354042,6.0036586,5.8011068,3.6578993,4.8075186,3.4147042,5.5249307,3.7165054,4.5501354,4.8066325,3.5907496,3.5502773,4.2142739,4.5904591,5.0240172,5.9772625,4.2931753,3.5523497,3.5815506,5.5329226,4.535598,3.9805105,3.4498965,4.5467678,4.6814891,4.6161401,3.5264939,4.7919105,4.857496,4.4711818,3.9038283,4.0858717,4.3319378,3.4832739
0.9596625,0.270292,0.3755259,0.3853122,1.1622978,1.9751253,0.8228272,0.7110069,0.7717279,0,1.5088897,0.71326,0.2653865,0.793093,2.3432878,3.1597414,1.9751253,0.9861981,1.8958561,1.6451164,0.9318676,1.4519576,1.242828,0.7463942,0.74624,0.2960431,0.8040099,0.99532,0.7908287,0.3624815,0.1870942,0.996611,2.3227101,2.6295527,0.1311927,0.3366202,1.1820574,1.1485386,0.6687892,0.7411357,0.9687426,1.919325,0.6687892,1.1359037,1.6863596,0.3731971,1.630332,0.4520086,1.4647505,0.4955334,3.5607303,3.0976612,3.5939562,2.894453,3.2656465,2.6026173,3.1980513,2.2389867,3.1603047,2.393858,3.0102177,2.6877131,3.0705028,2.91639,2.195168,3.2144396,2.651181,2.363656,3.604136,2.4857711,3.1590659,2.6566625,3.4404031,2.8182201,2.9131047,3.1424238,3.4845055,3.6214501,2.8699659,2.2196867,2.5540032,2.4599818,2.4401711,3.2616303,2.5843278,2.9998375,3.3741032,3.3770397,2.3270057,2.6275491,2.5733779,2.8539893,2.5662052,2.4118882,2.5247949,2.3254939,2.441659,2.769384,2.09677,2.4606524,4.4137218,3.4291139,4.4953678,3.6656996,4.1604956,5.0907084,3.0313614,4.5802149,4.1865946,5.0729415,3.7627449,3.786002,4.1636904,3.6017542,3.8624762,4.0370899,3.7275385,5.5027452,5.5170013,3.6513951,4.4583766,3.3333545,5.1766584,3.5191333,4.1810165,4.3863105,3.3774363,3.2918662,4.0042413,4.1920647,4.685646,5.4426728,4.0914081,3.2961221,3.4233022,5.1581822,4.2227129,3.6592087,3.2071727,4.1951091,4.3845515,4.2805014,3.4291139,4.4564891,4.5288107,4.1834456,3.7763561,3.7937453,4.0186554,3.2625069
